lock,threads,run,iterations,exec_ns,total_bids,final_highest_bid,final_highest_bidder,mean_wait_ns,p99_wait_ns,max_wait_ns,finish_spread_ns,jain_first_half,bids_won_per_bidder,bids_won_first_half_per_bidder
TTAS,2,1,1000,2304858,2000,2000,1,870.4,1574,55054,189628,0.9593,1000;1000,603;397
TTAS,2,2,1000,2096061,2000,2000,1,730.4,1468,144171,583824,0.9273,1000;1000,640;360
TTAS,2,3,1000,1182385,2000,2000,1,483.6,830,6774,176436,0.9889,1000;1000,553;447
TTAS,2,4,1000,803951,2000,2000,1,243.6,765,125454,247599,0.8875,1000;1000,678;322
TTAS,2,5,1000,565530,2000,2000,1,182.1,242,56218,172262,0.9154,1000;1000,652;348
TTAS,4,1,1000,1667709,4000,4000,3,841.0,7733,104807,572257,0.7681,1000;1000;1000;1000,734;812;247;207
TTAS,4,2,1000,1039607,4000,4000,0,537.2,1673,806922,236399,0.8884,1000;1000;1000;1000,205;522;657;616
TTAS,4,3,1000,784296,4000,4000,2,237.2,2002,30675,277567,0.6653,1000;1000;1000;1000,1000;461;0;539
TTAS,4,4,1000,868348,4000,4000,2,121.1,466,89602,714493,0.5000,1000;1000;1000;1000,1000;1000;0;0
TTAS,4,5,1000,1102736,4000,4000,3,518.3,5256,51448,507698,0.6476,1000;1000;1000;1000,172;1000;707;121
TTAS,8,1,1000,1856587,8000,8000,6,292.6,2323,107383,1562320,0.5365,1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;844;121;35;0;0
TTAS,8,2,1000,2251984,8000,8000,7,1120.1,10939,313200,1823952,0.6541,1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;235;800;161;145;551;108
TTAS,8,3,1000,2162274,8000,8000,5,172.2,307,508493,1954864,0.5000,1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;1000;0;0;0;0
TTAS,8,4,1000,1625347,8000,8000,3,269.7,1533,77278,1283507,0.5000,1000;1000;1000;1000;1000;1000;1000;1000,1000;1000;1000;0;1000;0;0;0
TTAS,8,5,1000,2213486,8000,8000,2,926.9,9207,52217,1975709,0.6136,1000;1000;1000;1000;1000;1000;1000;1000,1000;989;373;1000;171;312;34;121
